"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000260408","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000260408",,,,,,,,"0.733","0.733"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000374135","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000374135",,,,,,,,"0.55","0.55"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000303634","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000303634",,,"0.4","0.58",,,,"0.999","0.997"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000356919","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000356919",,,,,,,,"0.525","0.525"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000273814","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000273814",,,,,,,,"0.601","0.602"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000345672","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000345672","0.149",,,"0.063",,,,"0.699","0.654"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000304592","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000304592","0.093",,,,,,,"0.461","0.431"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000264771","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000264771",,,,,,,,"0.414","0.414"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000371420","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000371420",,,,,,,,"0.488","0.488"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000298910",,,,,,,,"0.51","0.51"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000265594","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000265594",,,,,,,,"0.773","0.774"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000281924","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000281924",,,,,,,,"0.447","0.447"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000314499",,,,,,,,"0.7","0.7"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000253083","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000253083",,,,,"0.538",,,"0.873","0.736"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000500990",,,,,,,,"0.447","0.447"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000367316","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000367316",,,,,,,,"0.403","0.403"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000321805","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000321805","0.057",,,,,,,"0.602","0.596"
"pp","9606.ENSP00000253079 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000253079 (pp) 9606.ENSP00000340820",,,,,,,,"0.477","0.477"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000321805","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000321805",,,,,,,,"0.458","0.458"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000369981","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000369981",,,,,,,,"0.544","0.544"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000298910","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000298910",,,,,,,,"0.403","0.403"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000265594","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000265594","0.048",,,,,,,"0.669","0.667"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000386456","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000386456","0.069",,,"0.165",,,,"0.498","0.407"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000314499","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000314499","0.157",,"0.5","0.561",,,,"0.94","0.717"
